scl_pha_ratio_mol,3hb_ratio_mol,3hv_ratio_mol,mcl_pha_ratio_mol,3hhx_ratio_mol,3hhp_ratio_mol,3ho_ratio_mol,3hn_ratio_mol,3hd_ratio_mol,3hud_ratio_mol,3hdd_ratio_mol,3htrid_ratio_mol,3httd_ratio_mol,unsaturated_monomer_ratio_mol,mw,mn,pdi,additive1_type,additive1_percentage_wt,additive2_type,additive2_percentage_wt,final_formulation_pha_percentage_wt,tg1,tm1,crystallinity_percentage,tm_mean,tm_max
99.87,99.81,0.06,0.13,0.09,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,no_additive,0.0,no_additive,0.0,100.0,,176.0,52.0,176.0,176.0
98.88,98.88,0.0,1.12,0.92,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190000.0,79166.66666666667,2.4,no_additive,0.0,no_additive,0.0,100.0,-1.0,155.0,,161.0,167.0
98.74,98.74,0.0,1.26,0.98,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270000.0,112500.0,2.4,no_additive,0.0,no_additive,0.0,100.0,-3.0,141.0,,149.0,157.0
94.6,94.6,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233000.0,116500.0,2.0,no_additive,0.0,no_additive,0.0,100.0,4.6,161.0,,161.0,161.0
0.0,0.0,0.0,100.0,6.1,0.0,92.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98500.0,,,no_additive,0.0,no_additive,0.0,100.0,,52.0,16.0,52.0,52.0
95.0,95.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211200.0,105600.0,2.0,no_additive,0.0,no_additive,0.0,100.0,-3.0,163.7,,163.7,163.7
93.0,93.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163800.0,96352.94117647059,1.7,no_additive,0.0,no_additive,0.0,100.0,-3.3,163.8,,163.8,163.8
92.0,92.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168300.0,93500.0,1.8,no_additive,0.0,no_additive,0.0,100.0,-2.9,163.9,,163.9,163.9
92.39999999999999,92.3,0.1,7.6000000000000005,2.1,0.0,4.3,0.0,1.2,0.0,0.0,0.0,0.0,0.0,,,,no_additive,0.0,no_additive,0.0,100.0,,161.0,45.0,161.0,161.0
91.4,91.3,0.1,8.6,2.9,0.0,4.2,0.0,1.5,0.0,0.0,0.0,0.0,0.0,,,,no_additive,0.0,no_additive,0.0,100.0,,157.0,44.0,157.0,157.0
91.2,91.1,0.1,8.8,2.7,0.0,4.2,0.0,1.9,0.0,0.0,0.0,0.0,0.0,,,,no_additive,0.0,no_additive,0.0,100.0,,159.0,43.0,159.0,159.0
90.7,90.5,0.2,9.299999999999999,2.6,0.0,4.6,0.0,2.1,0.0,0.0,0.0,0.0,0.0,,,,no_additive,0.0,no_additive,0.0,100.0,,157.0,42.0,157.0,157.0
99.2,98.9,0.3,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,no_additive,0.0,no_additive,0.0,100.0,,172.0,52.0,172.0,172.0
0.0,0.0,0.0,100.0,0.0,0.0,25.52,0.0,52.12,0.0,5.67,0.0,16.67,0.0,30244.0,14754.0,2.05,no_additive,0.0,no_additive,0.0,100.0,3.99,172.84,43.73,172.84,172.84
0.0,0.0,0.0,100.0,1.0,0.0,22.0,0.0,68.0,0.0,5.0,0.0,4.0,0.0,370000.0,170000.0,2.1,no_additive,0.0,no_additive,0.0,100.0,-12.0,53.0,,53.0,53.0
0.0,0.0,0.0,100.0,3.0,0.0,17.0,0.0,50.0,0.0,13.0,0.0,17.0,0.0,125000.0,86206.89655172414,1.45,no_additive,0.0,no_additive,0.0,100.0,-49.9,45.0,27.0,45.0,45.0
0.0,0.0,0.0,100.0,3.0,0.0,23.0,0.0,66.0,0.0,8.0,0.0,0.0,0.0,223000.0,88000.0,2.5,no_additive,0.0,no_additive,0.0,100.0,-39.7,56.0,24.0,56.0,56.0
77.2,77.2,0.0,22.8,0.0,0.0,0.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,66700.0,111100.0,1.67,no_additive,0.0,no_additive,0.0,100.0,-1.34,155.91,,155.91,155.91
88.83,88.83,0.0,11.17,0.0,0.0,0.0,0.0,11.17,0.0,0.0,0.0,0.0,0.0,70500.0,117000.0,1.66,no_additive,0.0,no_additive,0.0,100.0,-2.07,154.71,,154.71,154.71
84.33,84.33,0.0,15.67,0.0,0.0,0.0,0.0,0.0,15.67,0.0,0.0,0.0,0.0,73700.0,129400.0,1.76,no_additive,0.0,no_additive,0.0,100.0,-0.44,156.38,,156.38,156.38
84.04,84.03999999999999,0.0,15.96,0.0,0.0,0.0,0.0,0.0,0.0,15.96,0.0,0.0,0.0,66100.0,116300.0,1.76,no_additive,0.0,no_additive,0.0,100.0,-1.47,155.84,,155.84,155.84
83.55,83.55,0.0,16.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.45,0.0,0.0,65100.0,115300.0,1.77,no_additive,0.0,no_additive,0.0,100.0,-1.14,156.03,,156.03,156.03
86.26,86.26,0.0,13.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.74,0.0,71600.0,117300.0,1.64,no_additive,0.0,no_additive,0.0,100.0,-3.49,149.56,,149.56,149.56
0.0,0.0,0.0,100.0,21.4,0.0,41.8,0.0,32.2,0.0,4.6,0.0,0.0,0.0,81477.0,46236.0,1.8,no_additive,0.0,no_additive,0.0,100.0,,52.43,3.0,52.43,52.43
0.0,0.0,0.0,100.0,4.8,0.0,38.1,0.0,34.1,0.0,23.0,0.0,0.0,0.0,65744.0,33670.0,2.0,no_additive,0.0,no_additive,0.0,100.0,,50.04,2.0,50.04,50.04
0.0,0.0,0.0,100.0,4.4,0.0,40.3,0.0,35.7,0.0,19.6,0.0,0.0,0.0,68851.0,33585.0,2.1,no_additive,0.0,no_additive,0.0,100.0,,48.89,5.0,48.89,48.89
0.0,0.0,0.0,100.0,5.6,0.0,41.8,0.0,36.7,0.0,15.9,0.0,0.0,0.0,63037.0,28333.0,2.2,no_additive,0.0,no_additive,0.0,100.0,,,,,
0.0,0.0,0.0,100.0,0.0,20.1,0.0,20.3,0.6,57.7,0.0,0.0,0.0,0.0,77391.0,38030.0,2.0,no_additive,0.0,no_additive,0.0,100.0,,54.66,6.0,54.66,54.66
0.0,0.0,0.0,100.0,0.3,27.8,0.8,22.4,3.5,41.0,1.2,0.0,0.0,0.0,60707.0,28785.0,2.1,no_additive,0.0,no_additive,0.0,100.0,,43.47,0.02,43.47,43.47
0.0,0.0,0.0,101.1,0.0,0.0,20.8,0.0,76.6,0.0,3.7,0.0,0.0,0.0,53692.0,25567.0,2.1,no_additive,0.0,no_additive,0.0,100.0,,49.3,3.0,49.3,49.3
69.1,69.1,0.0,31.200000000000003,0.0,0.0,8.9,0.0,13.8,0.0,8.5,0.0,0.0,0.0,107771.0,67082.0,1.6,no_additive,0.0,no_additive,0.0,100.0,,164.3,10.0,164.3,164.3
100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,no_additive,0.0,no_additive,0.0,100.0,,165.4,30.0,165.4,165.4
100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,no_additive,0.0,no_additive,0.0,100.0,,165.8,40.0,165.8,165.8
100.0,61.1,38.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415793.0,200572.0,2.1,no_additive,0.0,no_additive,0.0,100.0,,106.2,30.0,106.2,106.2
0.0,0.0,0.0,100.0,11.2,0.0,84.5,0.0,4.3,0.0,0.0,0.0,0.0,0.0,235000.0,142000.0,1.65,no_additive,0.0,no_additive,0.0,100.0,-36.0,55.0,,55.0,55.0
0.0,0.0,0.0,100.0,8.0,0.0,90.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,130000.0,,,no_additive,0.0,no_additive,0.0,100.0,-33.7,54.9,7.9,54.9,54.9
0.0,0.0,0.0,100.0,8.0,0.0,90.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,130000.0,,,reinforcment_and_stiffening_modifiers,10.0,no_additive,0.0,90.0,-32.9,55.2,7.4,55.2,55.2
0.0,0.0,0.0,100.0,8.0,0.0,90.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,130000.0,,,reinforcment_and_stiffening_modifiers,30.0,no_additive,0.0,70.0,-33.1,55.7,6.9,55.7,55.7
0.0,0.0,0.0,100.0,13.8,0.0,86.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211500.0,106281.40703517589,1.99,no_additive,0.0,no_additive,0.0,100.0,-33.1,58.1,,58.1,58.1
0.0,0.0,0.0,100.0,0.0,0.0,85.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,no_additive,0.0,no_additive,0.0,100.0,-35.1,53.05,,53.05,53.05
0.0,0.0,0.0,100.1,5.1,1.5,40.0,4.7,39.8,0.0,9.0,0.0,0.0,0.0,66000.0,35000.0,1.9,no_additive,0.0,no_additive,0.0,100.0,-46.9,48.6,12.3,48.6,48.6
0.0,0.0,0.0,100.0,6.5,1.7,46.5,2.6,35.8,0.0,6.9,0.0,0.0,0.0,196000.0,78000.0,2.5,no_additive,0.0,no_additive,0.0,100.0,-43.5,53.6,10.4,53.6,53.6
0.0,0.0,0.0,100.0,11.2,0.0,84.5,0.0,4.3,0.0,0.0,0.0,0.0,0.0,234300.0,142000.0,1.65,no_additive,0.0,no_additive,0.0,100.0,-32.0,55.0,38.0,55.0,55.0
0.0,0.0,0.0,100.0,4.3,0.0,95.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,100100.0,77000.0,1.3,no_additive,0.0,no_additive,0.0,100.0,-31.0,55.0,34.0,55.0,55.0
0.0,0.0,0.0,100.0,0.0,0.0,26.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,370000.0,142307.6923076923,2.6,no_additive,0.0,no_additive,0.0,100.0,,,,,
0.0,0.0,0.0,100.0,14.0,0.0,79.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,235000.0,142000.0,1.65,no_additive,0.0,no_additive,0.0,100.0,-35.8,54.7,31.0,54.7,54.7
1.5,1.5,0.0,98.5,5.0,0.7,31.8,0.0,24.1,0.0,22.9,0.0,14.0,0.0,74958.0,35308.0,2.1,no_additive,0.0,no_additive,0.0,100.0,-1.0,43.0,,43.0,43.0
0.0,0.0,0.0,100.0,8.1,0.0,76.2,0.0,11.0,0.0,4.7,0.0,0.0,0.0,38685.0,77657.0,2.0,no_additive,0.0,no_additive,0.0,100.0,,,,,
0.0,0.0,0.0,100.0,3.5,0.0,38.2,0.0,38.9,0.0,19.4,0.0,0.0,0.0,31388.0,60056.0,1.9,no_additive,0.0,no_additive,0.0,100.0,,,,,
0.0,0.0,0.0,100.1,4.1,0.0,36.9,0.0,34.8,0.0,18.0,0.0,6.3,0.0,13608.0,55685.0,4.1,no_additive,0.0,no_additive,0.0,100.0,,,,,
0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,361400.0,248600.0,1.45,no_additive,0.0,no_additive,0.0,100.0,-37.21,72.2,,72.2,72.2
0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,15.74,0.0,84.26,0.0,0.0,0.0,155500.0,119400.0,1.3,no_additive,0.0,no_additive,0.0,100.0,-32.49,77.62,,77.62,77.62
0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272000.0,206000.0,1.32,no_additive,0.0,no_additive,0.0,100.0,-28.19,,,,
0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455000.0,252000.0,1.81,no_additive,0.0,no_additive,0.0,100.0,-32.13,,,,
0.0,0.0,0.0,100.0,2.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180000.0,148000.0,1.22,no_additive,0.0,no_additive,0.0,100.0,-38.38,66.06,,66.06,66.06
89.0,89.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346000.0,284000.0,1.22,no_additive,0.0,no_additive,0.0,100.0,-1.58,98.62,,98.62,98.62
0.0,0.0,0.0,100.0,7.6,0.0,92.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396000.0,216000.0,1.8,no_additive,0.0,no_additive,0.0,100.0,-33.0,61.0,,61.0,61.0
0.0,0.0,0.0,100.0,7.6,0.0,92.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396000.0,216000.0,1.8,reinforcment_and_stiffening_modifiers,1.0,no_additive,0.0,99.0,-33.0,61.0,,61.0,61.0
0.0,0.0,0.0,100.0,7.6,0.0,92.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396000.0,216000.0,1.8,reinforcment_and_stiffening_modifiers,2.5,no_additive,0.0,97.5,-33.0,61.0,,61.0,61.0
0.0,0.0,0.0,100.0,7.6,0.0,92.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396000.0,216000.0,1.8,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,95.0,-32.0,60.0,,60.0,60.0
